week_start_date,store_id,product_id,opening_stock_units,receipts_units,units_sold,damaged_units,wastage_units,closing_stock_units,reorder_level_units,stockout_hours,system_stock_units,physical_stock_units,cycle_count_variance_units,inventory_accuracy_pct
2026-03-30,MFC001,PRD0006,112,0,12,0,1,99,36,0.0,99,99,0,100.0
2026-03-30,MFC001,PRD0160,75,0,7,1,0,67,27,0.0,67,67,0,100.0
2026-03-30,MFC001,PRD0323,42,43,6,0,1,78,27,0.0,78,78,0,100.0
2026-03-30,MFC001,PRD0025,53,0,8,0,1,44,32,0.0,44,44,0,100.0
2026-03-30,MFC001,PRD0314,83,0,12,0,0,71,25,0.0,71,71,0,100.0
2026-03-30,MFC001,PRD0155,38,39,4,0,0,73,28,0.0,73,73,0,100.0
2026-03-30,MFC001,PRD0303,55,26,4,2,0,75,40,0.0,75,75,0,100.0
2026-03-30,MFC001,PRD0088,98,0,1,0,0,97,30,0.0,97,97,0,100.0
2026-03-30,MFC001,PRD0295,82,0,6,0,0,76,13,0.0,76,76,0,100.0
2026-03-30,MFC001,PRD0304,57,6,3,1,0,59,34,0.0,59,59,0,100.0
2026-03-30,MFC001,PRD0281,74,4,5,0,3,70,40,0.0,70,70,0,100.0
2026-03-30,MFC001,PRD0393,27,19,1,2,0,43,17,0.0,43,43,0,100.0
2026-03-30,MFC001,PRD0345,115,0,3,1,1,110,13,0.0,110,110,0,100.0
2026-03-30,MFC001,PRD0306,75,0,1,0,1,73,37,0.0,73,73,0,100.0
2026-03-30,MFC001,PRD0106,111,0,2,1,0,108,16,0.0,108,108,0,100.0
2026-03-30,MFC001,PRD0388,75,0,1,0,0,74,28,0.0,74,74,0,100.0
2026-03-30,MFC001,PRD0168,110,0,3,0,0,107,31,0.0,107,107,0,100.0
2026-03-30,MFC001,PRD0359,99,0,10,0,0,89,16,0.0,89,89,0,100.0
2026-03-30,MFC001,PRD0201,73,0,1,0,0,72,20,0.0,72,71,-1,98.61
2026-03-30,MFC001,PRD0397,30,19,2,0,1,46,20,0.0,46,46,0,100.0
2026-03-30,MFC001,PRD0007,52,0,0,0,1,51,20,0.0,51,53,2,96.23
2026-03-30,MFC001,PRD0152,112,0,5,0,0,107,25,0.0,107,107,0,100.0
