order_item_id,order_id,product_id,quantity_ordered,quantity_fulfilled,unit_mrp,unit_selling_price,line_discount_amount,item_revenue,item_cost,gross_margin,stock_available_at_order,substitution_flag
ORD0000001-01,ORD0000001,PRD0126,1,1,130.77,114.69,16.08,114.69,99.76,14.93,7,N
ORD0000001-02,ORD0000001,PRD0115,1,1,47.92,44.09,3.83,44.09,31.15,12.94,7,N
ORD0000001-03,ORD0000001,PRD0237,1,1,280.88,251.42,29.46,251.42,189.72,61.7,4,N
ORD0000002-01,ORD0000002,PRD0281,2,2,512.81,448.39,128.84,896.78,757.52,139.26,11,N
ORD0000002-02,ORD0000002,PRD0378,1,1,31.64,29.41,2.23,29.41,24.34,5.07,8,N
ORD0000002-03,ORD0000002,PRD0136,1,1,291.71,238.14,53.57,238.14,170.88,67.26,10,N
ORD0000002-04,ORD0000002,PRD0149,1,1,82.42,74.94,7.48,74.94,58.43,16.51,2,N
ORD0000003-01,ORD0000003,PRD0349,1,1,131.71,122.44,9.27,122.44,74.9,47.54,8,N
ORD0000004-01,ORD0000004,PRD0034,1,1,28.45,26.07,2.38,26.07,23.23,2.84,7,N
ORD0000004-02,ORD0000004,PRD0388,1,1,594.5,538.14,56.36,538.14,470.21,67.93,5,N
ORD0000004-03,ORD0000004,PRD0323,2,2,73.72,71.66,4.12,143.32,91.84,51.48,7,N
ORD0000004-04,ORD0000004,PRD0186,1,1,93.14,84.28,8.86,84.28,62.56,21.72,9,N
ORD0000004-05,ORD0000004,PRD0021,3,3,21.28,21.09,0.57,63.27,46.02,17.25,14,N
ORD0000005-01,ORD0000005,PRD0025,1,1,51.51,47.49,4.02,47.49,36.03,11.46,11,N
ORD0000005-02,ORD0000005,PRD0358,1,1,602.35,585.89,16.46,585.89,397.5,188.39,3,N
ORD0000005-03,ORD0000005,PRD0183,2,2,107.09,105.18,3.82,210.36,127.16,83.2,10,N
ORD0000005-04,ORD0000005,PRD0394,1,1,978.49,866.64,111.85,866.64,648.86,217.78,10,N
ORD0000005-05,ORD0000005,PRD0007,1,1,120.33,111.98,8.35,111.98,82.2,29.78,9,N
ORD0000006-01,ORD0000006,PRD0007,1,1,120.33,109.96,10.37,109.96,82.2,27.76,11,N
ORD0000006-02,ORD0000006,PRD0006,2,2,98.39,98.13,0.52,196.26,112.14,84.12,8,N
ORD0000006-03,ORD0000006,PRD0323,1,1,73.72,72.66,1.06,72.66,45.92,26.74,11,N
ORD0000006-04,ORD0000006,PRD0084,1,1,271.09,239.87,31.22,239.87,208.84,31.03,10,N
ORD0000007-01,ORD0000007,PRD0387,3,3,378.52,351.93,79.77,1055.79,894.87,160.92,8,N
ORD0000007-02,ORD0000007,PRD0065,1,1,754.45,634.23,120.22,634.23,419.57,214.66,4,N
ORD0000008-01,ORD0000008,PRD0160,1,1,221.65,218.75,2.9,218.75,129.39,89.36,1,N
