order_id,order_date,order_timestamp,order_hour,day_of_week,weekend_flag,shift,customer_id,store_id,rider_id,city,channel,payment_method,campaign,weather_condition,peak_hour_flag,order_status,items_ordered,items_fulfilled,stockout_line_items,subtotal_before_discount,item_discount_amount,order_discount_amount,delivery_fee,tax_amount,gross_order_value,refund_amount,net_revenue,gross_margin,distance_km,promised_delivery_minutes,picking_start_timestamp,picking_end_timestamp,packing_end_timestamp,rider_assigned_timestamp,dispatch_timestamp,delivered_timestamp,cancelled_timestamp,picking_minutes,packing_minutes,rider_assignment_minutes,travel_minutes,actual_delivery_minutes,sla_status,cancellation_stage,cancellation_reason,customer_rating
ORD0000001,2026-05-27,2026-05-27 10:26:23,10,Wednesday,N,Morning,CUST007825,MFC002,RDR00017,Bengaluru,Android,Wallet,Weekend Saver,Clear,N,Delivered,3,3,0,459.57,49.37,0.0,20.0,10.26,440.46,0.0,440.46,89.57,3.73,38,2026-05-27 10:26:53,2026-05-27 10:31:21,2026-05-27 10:33:29,2026-05-27 10:31:07,2026-05-27 10:35:37,2026-05-27 10:47:50,,4.48,2.12,4.75,12.22,21.46,Within SLA,,,4.5
ORD0000002,2026-04-20,2026-04-20 21:14:08,21,Monday,N,Evening,CUST007753,MFC002,RDR00015,Bengaluru,iOS,Credit/Debit Card,Weekend Saver,Clear,Y,Delivered,5,5,0,1431.39,192.12,0.0,0.0,30.98,1270.25,0.0,1270.25,228.1,2.05,28,2026-04-20 21:18:15,2026-04-20 21:25:52,2026-04-20 21:29:17,2026-04-20 21:19:54,2026-04-20 21:30:32,2026-04-20 21:43:35,,7.62,3.42,5.77,13.04,29.45,SLA Breach,,,3.4
ORD0000003,2026-04-13,2026-04-13 23:12:09,23,Monday,N,Night,CUST000742,MFC014,,Hyderabad,iOS,UPI,No Campaign,Clear,N,Cancelled,1,1,0,131.71,9.27,0.0,25.0,3.06,150.5,150.5,0.0,47.54,1.78,28,2026-04-13 23:13:34,,,,,,2026-04-13 23:15:03,,,,,,Not Applicable,During Picking,Item Unavailable,
ORD0000004,2026-05-23,2026-05-23 21:45:40,21,Saturday,Y,Evening,CUST006390,MFC013,RDR00151,Hyderabad,Android,UPI,Membership Offer,Light Rain,Y,Delivered,8,8,0,927.37,72.29,42.75,0.0,20.31,832.64,0.0,832.64,118.47,0.74,28,2026-05-23 21:47:05,2026-05-23 21:54:42,2026-05-23 21:59:29,2026-05-23 21:50:28,2026-05-23 22:01:37,2026-05-23 22:11:12,,7.61,4.79,4.81,9.57,25.54,Within SLA,,,3.3
ORD0000005,2026-05-26,2026-05-26 23:43:49,23,Tuesday,N,Night,CUST007753,MFC003,RDR00035,Bengaluru,Desktop Web,UPI,No Campaign,Clear,N,Delivered,6,6,0,1966.86,144.5,0.0,0.0,45.56,1867.92,0.0,1867.92,530.61,1.08,28,2026-05-26 23:45:39,2026-05-26 23:52:41,2026-05-26 23:56:24,2026-05-26 23:50:29,2026-05-26 23:57:58,2026-05-27 00:04:59,,7.03,3.73,6.67,7.0,21.17,Within SLA,,,3.6
ORD0000006,2026-06-09,2026-06-09 09:30:42,9,Tuesday,N,Morning,CUST006895,MFC011,RDR00130,Mumbai,Mobile Web,Credit/Debit Card,No Campaign,Cloudy,Y,Delivered,5,5,0,661.92,43.17,0.0,0.0,15.47,634.22,0.0,634.22,169.65,1.11,28,2026-06-09 09:31:21,2026-06-09 09:40:04,2026-06-09 09:43:40,2026-06-09 09:34:30,2026-06-09 09:44:41,2026-06-09 09:53:29,,8.71,3.6,3.8,8.8,22.79,Within SLA,,,4.0
ORD0000007,2026-04-19,2026-04-19 22:50:48,22,Sunday,Y,Night,CUST007753,MFC005,RDR00051,Bengaluru,iOS,Cash on Delivery,Weekend Saver,Cloudy,N,Delivered,4,4,0,1890.01,199.99,0.0,0.0,42.25,1732.27,0.0,1732.27,375.58,0.69,28,2026-04-19 22:53:56,2026-04-19 23:00:05,2026-04-19 23:03:51,2026-04-19 22:55:07,2026-04-19 23:05:36,2026-04-19 23:10:05,,6.15,3.76,4.32,4.49,19.29,Within SLA,,,4.8
ORD0000008,2026-05-15,2026-05-15 07:04:55,7,Friday,N,Morning,CUST004520,MFC018,RDR00209,Pune,iOS,UPI,No Campaign,Clear,N,Delivered,4,4,0,709.31,24.86,0.0,0.0,17.11,701.56,0.0,701.56,184.4,2.8,28,2026-05-15 07:06:18,2026-05-15 07:12:07,2026-05-15 07:15:45,2026-05-15 07:06:30,2026-05-15 07:16:51,2026-05-15 07:27:09,,5.82,3.63,1.59,10.31,22.24,Within SLA,,,3.2
ORD0000009,2026-05-31,2026-05-31 11:35:59,11,Sunday,Y,Morning,CUST004879,MFC010,RDR00116,Mumbai,Android,Credit/Debit Card,Weekend Saver,Clear,N,Delivered,1,1,0,327.21,56.95,0.0,25.0,6.76,302.02,0.0,302.02,63.66,2.06,28,2026-05-31 11:38:42,2026-05-31 11:41:21,2026-05-31 11:43:32,2026-05-31 11:41:00,2026-05-31 11:44:34,2026-05-31 11:53:23,,2.65,2.19,5.02,8.81,17.41,Within SLA,,,4.1
ORD0000010,2026-06-23,2026-06-23 08:34:31,8,Tuesday,N,Morning,CUST006136,MFC018,RDR00212,Pune,iOS,Credit/Debit Card,No Campaign,Light Rain,Y,Delivered,2,2,0,372.39,36.25,0.0,15.0,8.4,359.54,0.0,359.54,38.74,3.08,38,2026-06-23 08:35:59,2026-06-23 08:40:34,2026-06-23 08:43:44,2026-06-23 08:42:30,2026-06-23 08:44:51,2026-06-23 09:02:41,,4.58,3.17,8.0,17.84,28.17,Within SLA,,,4.1
