order_date,store_id,shift,orders_received,delivered_orders,cancelled_orders,gross_order_value,net_revenue,avg_picking_minutes,avg_delivery_minutes,avg_customer_rating,stockout_line_items,planned_staff,present_staff,staff_absence_count,system_downtime_minutes,orders_per_staff_member,cancellation_rate_pct,sla_within_orders,sla_breach_orders,on_time_delivery_rate_pct
2026-04-01,MFC001,Morning,3.0,3.0,0.0,9716.49,9716.49,9.54,26.66,3.57,0.0,3,3,0,5,1.0,0.0,3,0,100.0
2026-04-01,MFC001,Evening,7.0,7.0,0.0,4929.26,4929.26,5.22,24.3,3.6,0.0,3,3,0,3,2.33,0.0,6,1,85.71
2026-04-01,MFC001,Night,3.0,3.0,0.0,1759.52,1677.87,6.06,24.08,3.33,1.0,3,3,0,4,1.0,0.0,3,0,100.0
2026-04-01,MFC002,Morning,5.0,4.0,1.0,3984.31,3536.12,6.27,30.7,3.6,0.0,3,3,0,2,1.67,20.0,2,2,50.0
2026-04-01,MFC002,Evening,3.0,3.0,0.0,4242.44,4242.44,7.19,25.34,4.2,0.0,3,3,0,4,1.0,0.0,3,0,100.0
2026-04-01,MFC002,Night,1.0,1.0,0.0,517.36,517.36,8.28,25.39,3.3,0.0,3,3,0,2,0.33,0.0,1,0,100.0
2026-04-01,MFC003,Morning,6.0,5.0,1.0,4726.87,3458.84,5.26,24.95,3.22,1.0,3,3,0,2,2.0,16.67,5,0,100.0
2026-04-01,MFC003,Evening,9.0,9.0,0.0,8015.28,7341.55,7.95,26.59,3.47,4.0,4,4,0,5,2.25,0.0,4,5,44.44
2026-04-01,MFC003,Night,5.0,4.0,1.0,2975.77,2083.45,4.58,21.37,3.68,1.0,3,3,0,3,1.67,20.0,4,0,100.0
2026-04-01,MFC004,Morning,3.0,2.0,1.0,2980.31,2844.37,10.09,25.22,3.0,0.0,3,3,0,4,1.0,33.33,1,1,50.0
2026-04-01,MFC004,Evening,9.0,9.0,0.0,6976.55,6785.67,7.91,25.76,3.4,1.0,4,4,0,0,2.25,0.0,5,4,55.56
2026-04-01,MFC004,Night,0.0,0.0,0.0,0.0,0.0,,,,0.0,3,3,0,3,0.0,0.0,0,0,0.0
2026-04-01,MFC005,Morning,6.0,5.0,1.0,7137.32,5571.35,7.29,23.45,3.9,1.0,3,3,0,50,2.0,16.67,4,1,80.0
2026-04-01,MFC005,Evening,12.0,9.0,2.0,12403.67,10826.27,6.65,24.65,3.79,0.0,4,4,0,2,3.0,16.67,8,1,88.89
2026-04-01,MFC005,Night,1.0,1.0,0.0,264.47,264.47,6.95,29.45,3.6,0.0,3,2,1,2,0.5,0.0,1,0,100.0
2026-04-01,MFC006,Morning,2.0,2.0,0.0,1942.72,1942.72,7.08,34.6,3.85,0.0,3,3,0,2,0.67,0.0,0,2,0.0
2026-04-01,MFC006,Evening,9.0,8.0,1.0,8708.4,7967.79,8.38,29.41,3.23,2.0,4,4,0,2,2.25,11.11,7,1,87.5
